,RPT_REC_NUM,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE-Employees  on Payroll,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),"Hospital Total Days Title XIX for
Adults & Peds",Hospital Total Days (V + XVIII + XIX + Unknown) for Adults & Peds,"Hospital Total Discharges Title XIX for
Adults & Peds",Hospital Total Discharges (V + XVIII + XIX + Unknown) for Adult,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated  Care,"Total Unreimbursed  and
Uncompensated  Care",Total Salaries From Worksheet A,Total Costs,Inpatient Total Charges,Outpatient Total Charges,"Combined Outpatient + Inpatient
Total Charges",Wage-related  Costs (core),Wage-related  costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Disproportionate Share Adjustment,Allowable DSH Percentage,Inpatient Revenue,Outpatient Revenue,Gross Revenue,"Less Contractual Allowance and
Discounts on Patients' Accounts",Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
0,717629,344028,STRATEGIC BEHAVIORAL CENTER - GARNER,3200 WATERFIELD ROAD,GARNER,NC,27529-7727,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,721379,340123,AMERICAN HEALTHCARE SYSTEMS,373 NORTH FAYETTEVILLE STREET,ASHEBORO,NC,27204-,RANDOLPH,24660,1,1,2,10/01/2021,12/31/2021,173.01,213,5016,145,13340,62,1555,143,4053,62,1555,1654222,3738257,2258671,2258671,10586248,29208379,76289661,104740148,181029809,3604240,,10586248,871479,59194,.1521,76292307,104753570,181045877,156553732,24492145,29740894,-5248749,-6661015,-11909764,,-11909764,.160752
7,722316,341307,PENDER MEMORIAL HOSPITAL,507 E. FREMONT ST,BURGAW,NC,28425-,PENDER,48900,1,1,9,10/01/2021,12/31/2021,29.88,,1366,25,2300,,20,,58,,20,402814,1172059,767318,767318,2336443,7780014,2704567,22345452,25050019,,,,,,,2699645,22583156,25282801,18046625,7236176,11840025,-4603849,5052864,449015,-33155,482170,.310102
49,734455,340131,CAROLINAEAST MEDICAL CENTER,2000 NEUSE BOULEVARD,NEW BERN,NC,28561,CRAVEN,35100,2,1,9,10/01/2021,06/30/2022,2210.83,1749,48279,312,85176,258,9053,1155,32167,258,9053,6252192,34607429,16546501,16546501,135293749,253352048,377185583,593666418,970852001,22202908,,135293749,6783348,540118,.0552,529002337,605427516,1134429853,769300827,365129026,375839477,-10710451,-35811114,-46521565,1020385,-47541950,.258313
63,735715,340075,BLUE RIDGE HEALTHCARE HOSPITALS,2201 SOUTH STERLING STREET,MORGANTON,NC,28655,BURKE,25860,1,1,2,01/01/2022,06/30/2022,644.25,921,15805,156,28236,195,3202,727,13167,195,3202,3209891,10626456,5286963,5287662,45420705,92436657,160528966,371794400,532323366,5207753,,44841731,7029011,211240,.1528,172707874,380457562,553165436,434663826,118501610,124787617,-6286007,-27972013,-34258020,,-34258020,.168166
88,737173,343027,NOVANT HEALTH REHABILITATION HOSPITA,2475 HILLCREST CENTER CIRCLE,WINSTON SALEM,NC,27103,FORSYTH,49180,1,5,4,10/01/2021,09/30/2022,182.89,629,20400,68,24820,41,1490,629,20400,41,1490,,,,,13918271,24380283,50856129,,50856129,2293242,,13918271,223647,,,50856129,,50856129,21895528,28960601,25216302,3744299,62032,3806331,,3806331,
120,737543,340008,SCOTLAND MEMORIAL HOSPITAL,500 LAUCHWOOD DRIVE,LAURINBURG,NC,28352-,SCOTLAND,99934,2,1,2,10/01/2021,09/30/2022,860.97,2540,28144,104,37960,453,6537,2115,23687,453,6537,8515706,25768635,15825393,21554025,67906848,170121370,234803638,448235552,683039190,14568679,1997137,67906848,18767270,310561,.12,248838457,465574650,714413107,516418919,197994188,203559328,-5565140,4407415,-1157725,-13496517,12338792,.241712
121,737544,340024,SAMPSON REGIONAL MEDICAL CENTER,607 BEAMAN STREET,CLINTON,NC,28328-,SAMPSON,99934,2,1,2,10/01/2021,09/30/2022,388.28,1373,9949,67,24455,151,2476,542,7221,151,2476,2473808,9452426,5080980,5081560,30082269,48959972,55465196,121628036,177093232,4841108,,30082269,9024831,218118,.1729,55613041,140500961,196114002,130491245,65622757,72632069,-7009312,1301897,-5707415,276,-5707691,.270033
130,737627,340070,ALAMANCE REGIONAL MEDICAL CENTER,1240 HUFFMAN MILL ROAD,BURLINGTON,NC,27215,ALAMANCE,15500,2,1,2,10/01/2021,09/30/2022,1306.29,2174,48852,176,64240,466,10095,1669,41488,466,10095,11651277,32567720,21043412,21064597,94810306,279774033,369694627,599228557,968923184,20196671,,94810306,30204996,450209,.0929,378798346,613983808,992782154,706552914,286229240,272478324,13750916,10626020,24376936,423212,23953724,.284941
148,737686,340028,CAPE FEAR VALLEY MEDICAL CENTER,1638 OWEN DRIVE,FAYETTEVILLE,NC,28302,CUMBERLAND,22180,2,1,9,10/01/2021,09/30/2022,3844.34,11685,172600,627,222523,2008,30881,9360,141316,2008,30881,24499459,65444164,41988186,42327934,336327823,672028126,1378887612,1326560979,2705448591,43798484,77406,336327823,57946267,3943371,.246,1486924130,1440470878,2927395008,2046499018,880895990,965532950,-84636960,967037,-83669923,-2538266,-81131657,.243615
